director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,overview,tagline,rating,companies
Nicholaus Goossen,Linda Cardellini,Joel David Moore,Shirley Jones,Comedy,grandma's boy,"Even though he's 35, Alex acts more like he's 13, spending his days as the world's oldest video game tester and his evenings developing the next big Xbox game. But when he gets kicked out of his apartment, he's forced to move in with his grandmother.",A movie that proves you're never too old to come of age.,6.6,20th Century Fox Happy Madison Productions
Tamara Jenkins,Natasha Lyonne,Kevin Corrigan,Jessica Walter,Comedy Drama,slums of beverly hills,"In 1976, a lower-middle-class teenager struggles to cope living with her neurotic family of nomads on the outskirts of Beverly Hills.",Growing Up is Hard to Do,6.3,Fox Searchlight Pictures Wildwood Enterprises
Sergio Leone,Claudia Cardinale,Woody Strode,Jack Elam,Western,once upon a time in the west,"As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.",There were three men in her life. One to take her… one to love her —and one to kill her.,8.3,Paramount Rafran Cinematografica San Marco
Jon Favreau,Jon Favreau,Faizon Love,Jonathan Silverman,Comedy Crime Drama Thriller,made,Two aspiring boxers and lifelong friends get involved in a money-laundering scheme through a low-level organized crime group.,Welcome to disorganized crime.,6.0,Artisan Entertainment Cardiff Giant Productions Resnick Interactive Development
Duncan Jones,Kevin Spacey,Matt Berry,Benedict Wong,Drama Mystery Sci-Fi,moon,"With only three weeks left in his three year contract, Sam Bell is getting anxious to finally return to Earth. He is the only occupant of a Moon-based manufacturing facility along with his computer and assistant, GERTY. When he has an accident however, he wakens to find that he is not alone.",The last place you'd ever expect to find yourself.,7.6,Lunar Industries Liberty Films Xingu Films Limelight Fund Stage 6 Films Sony Pictures Classics Independent
Scott Marshall,Miranda Cosgrove,Jami Gertz,Carter Jenkins,Comedy,keeping up with the steins,"All hilarity breaks loose in this heartwarming coming-of-age comedy when three generations of Fiedlers collide in a crazy family reunion. As they prepare for the biggest Bar Mitzvah on the block, they begin to see that they're much more alike than they'd originally thought.",A 13-year-old boy uses his upcoming bar mitzvah to reconcile the strained relationship between his father and grandfather.,5.3,
Ronan Chapalain,Norbert Ferrer,Guillaume Denaiffe,Chloe Hollings,Documentary,sea rex 3d: journey to a prehistoric world,"Through the power of IMAX 3D, experience a wondrous adventure from the dinosaur age. Join Julie, an imaginative young woman, in a unique voyage through time and space. Explore an amazing underwater universe inhabited by larger-than-life creatures which were ruling the seas before dinosaurs conquered the earth. See science come alive in an entertaining manner and get ready for a face-to-face encounter with the T-Rex of the seas!",The T-Rex of the Seas come alive.,7.2,IMAX
Atom Egoyan,Bruce Greenwood,Sarah Polley,Simon Baker,Drama,the sweet hereafter,"A small mountain community in Canada is devastated when a school bus accident leaves more than a dozen of its children dead. A big-city lawyer arrives to help the survivors' and victims' families prepare a class-action suit, but his efforts only seem to push the townspeople further apart. At the same time, one teenage survivor of the accident has to reckon with the loss of innocence brought about by a different kind of damage.",There is no such thing as the simple truth.,6.9,Fine Line Features Ego Film Arts Alliance Films
Xavier Beauvois,Lambert Wilson,Michael Lonsdale,Olivier Rabourdin,Drama,of gods and men,"French drama based on the 1996 kidnapping and killing of seven monks in Algeria. A group of Trappist monks reside in the monastery of Tibhirine in Algeria, where they live in harmony with the largely muslim population. When a bloody conflict between Algeria's army and Muslim Jihadi insurgents disrupts the peace, they are forced to consider fleeing the monastery and deserting the villagers they have ministered to. In the face of deadly violence the monks wrestle with their faith and their convictions, eventually deciding to stay and help their neighbours keep the army and the insurgents at bay.","In the face of terror, their greatest weapon was faith...",6.7,Why Not Productions Armada Films France 3 Cinéma
Randall Miller,Alan Rickman,Freddy Rodríguez,Greg Collins,Comedy Drama,bottle shock,"Paris-based wine expert Steven Spurrier heads to California in search of cheap wine that he can use for a blind taste test in the French capital. Stumbling upon the Napa Valley, the stuck-up Englishman is shocked to discover a winery turning out top-notch chardonnay. Determined to make a name for himself, he sets about getting the booze back to Paris.","Based on a true story of love, victory, and fermentation",6.3,Intellectual Properties Worldwide Zininsa Film Production Unclaimed Freight Productions Shocking Bottle
Jerry Belson,Cassandra Peterson,Tim Thomerson,Bess Armstrong,Comedy Music Sci-Fi,jekyll and hyde... together again,Dr. Jekyll inhales white powder and becomes an obnoxious Southern Californian.,The comedy that examines modern living through chemistry.,5.3,Paramount
Peter Jackson,Kate Winslet,Jed Brophy,Liz Mullane,Biography Crime Drama Romance Thriller,heavenly creatures,"Wealthy and precocious teenager Juliet transfers from England to New Zealand with her family, and soon befriends the quiet, brooding Pauline through their shared love of fantasy and literature. When their parents begin to suspect that their increasingly intense and obsessive bond is becoming unhealthy, the girls hatch a dark plan for those who threaten to keep them apart.",Not all angels are innocent.,7.0,Miramax WingNut Films New Zealand Film Commission Fontana Productions
Michael Polish,Hayden Christensen,Bobby Batson,Cynthia Barrett,Drama,90 minutes in heaven,"A man involved in a horrific car crash is pronounced dead, only to come back to life an hour and a half later, claiming to have seen Heaven.",Hope lives,6.1,Giving Films EFO Films
Dan Rush,Will Ferrell,Scott Takeda,Stephen Root,Comedy Drama,everything must go,"When an alcoholic relapses, causing him to lose his wife and his job, he holds a yard sale on his front lawn in an attempt to start over. A new neighbor might be the key to his return to form.",Lost is a good place to find yourself,6.1,IM Global
Jake Kasdan,Kim Dickens,Ryan O'Neal,Angela Featherstone,Comedy Crime Drama Mystery Thriller,zero effect,"Daryl Zero is a private investigator and—along with his assistant, Steve Arlo—he solves impossible crimes and puzzles. Although Daryl's a master investigator, he doesn't know what to do with himself when he's not working; he has no social skills, writes bad music and drives Steve crazy.",The world's most private detective.,6.3,Castle Rock Entertainment Manifest Film Company
Brad Anderson,Christian Bale,Jennifer Jason Leigh,Reg E. Cathey,Drama Thriller,the machinist,"Trevor, an insomniac lathe operator, experiences unusual occurrences at work and home. A strange man follows him everywhere, but no one else seems to notice him.",How do you wake up from a nightmare if you’re not asleep?,7.5,ICF Castelao Productions Canal+ España ICAA Filmax Paramount Vantage MEDIA Programme of the European Union
Paul Schrader,Dana Delany,Jane Adams,David Clennon,Crime Drama,light sleeper,"A drug dealer with upscale clientele is having moral problems going about his daily deliveries. A reformed addict, he has never gotten over the wife that left him, and the couple that use him for deliveries worry about his mental well-being and his effectiveness at his job. Meanwhile someone is killing women in apparently drug-related incidents.",He was a good man in a deadly business. She was his only way out.,6.6,Fine Line Features Live Entertainment Carolco Pictures Seven Arts Pictures
Michael Cuesta,Jeremy Renner,Paz Vega,Robert Pralgo,Biography Crime Drama Mystery Thriller,kill the messenger,A reporter becomes the target of a vicious smear campaign that drives him to the point of suicide after he exposes the CIA's role in arming Contra rebels in Nicaragua and importing cocaine into California. Based on the true story of journalist Gary Webb.,Can you keep a national secret?,6.6,The Combine Focus Features Sierra/Affinity Bluegrass Films
John Cameron Mitchell,Dianne Wiest,Jon Tenney,Tammy Blanchard,Drama,rabbit hole,Life for a happy couple is turned upside down after their young son dies in an accident.,The only way out is through.,6.7,Olympus Pictures OddLot Entertainment Blossom Films
Fenton Bailey,Macaulay Culkin,Mia Kirshner,Marilyn Manson,Biography Crime Drama Thriller,party monster,"The New York club scene of the 80s and 90s was a world like no other. Into this candy-colored, mirror ball playground stepped Michael Alig, a wannabe from nowhere special. Under the watchful eye of veteran club kid James St. James, Alig quickly rose to the top... and there was no place to go but down.",Till death do they party.,5.9,ContentFilm
Jeremy Saulnier,Alia Shawkat,Mark Webber,Joe Cole,Crime Horror Music Thriller,green room,"A punk rock band becomes trapped in a secluded venue after finding a scene of violence. For what they saw, the band themselves become targets of violence from a gang of white power skinheads, who want to eliminate all evidence of the crime.",One way in. No way out.,6.7,filmscience Broad Green Pictures
Billy Kent,Liza Minnelli,Tim Russ,Winter Ave Zoli,Comedy Drama Romance,the oh in ohio,"Priscilla and Jack appear to be the perfect couple, but they have a secret: She is sexually frustrated. They separate in the hope of resolving the situation. While Jack moves into a bachelor pad and begins an affair with a student, Priscilla discovers the joys of self-pleasuring and finds an unusual bed-mate.",One woman's story is about to climax.,5.2,"Cold Iron Pictures Ambush Entertainment AV Club, The"
James Manera,Joaquim de Almeida,Greg Germann,Kristoffer Polaha,Drama Mystery Sci-Fi,atlas shrugged: who is john galt?,"Approaching collapse, the nation's economy is quickly eroding. As crime and fear take over the countryside, the government continues to exert its brutal force against the nation's most productive who are mysteriously vanishing - leaving behind a wake of despair. One man has the answer. One woman stands in his way. Some will stop at nothing to control him. Others will stop at nothing to save him. He swore by his life. They swore to find him.",Who is John Galt?,4.3,Atlas Distribution Company
